# HOTEL VOGELWEIDERHOF - FACT BASE
# INSTRUCTION FOR AI: This document contains ONLY facts. Do not guess, assume, or invent details (like street names, walking routes, or scenery) that are not explicitly written here. If exact directions are missing, recommend Google Maps or the specific website.

CHECK-IN TIME | 3:00 PM to 8:00 PM.
CHECK-OUT TIME | 11:00 AM.
LATE ARRIVAL | Keyboxes are located next to the entrance door of Building B. The access code is sent via email if arriving after 8:00 PM. We do not reveal codes to unverified individuals.
EARLY CHECK-IN | Rooms are rarely ready before 3:00 PM. If you arrive early, you can leave your luggage at reception. We cannot guarantee access to a room before 3:00 PM.

WIFI NETWORK | Vogelweiderhof
WIFI PASSWORD | internet (lowercase only)

ONLINE CHECK-IN | Mandatory by Austrian law. Link is sent automatically 3 days before arrival. Required to receive the Guest Mobility Ticket.

DRINKING WATER | Tap water in Salzburg is potable and safe to drink. We do not provide bottled water or tea/coffee making facilities in the rooms.

ROOM AMENITIES | Kettle, safe, small hotel fridge, shower gel, handwash, towels, bedding for each guest. Iron is not available in the rooms.
HAIRDRYER | Wall-mounted hairdryers are available in all rooms.
AIR CONDITIONING | Only 2 Family Rooms have AC. All other rooms have ceiling fans (operated by pull cord or remote). With remote: make sure the ceiling light/fan has electricity for the remote to work.
HEATING | Electric heating element in every room.
ROOM CARD | Keycard opens the room door and the main entrance. Any card (bank card, etc.) can be inserted into the room slot to activate electricity.
BABY COT | Not available.
SMOKING | All rooms are non-smoking. Smoking is only permitted on room terraces with the terrace door completely closed.

BREAKFAST HOURS | 7:00 AM - 10:00 AM daily.
BREAKFAST LOCATION | Building A (next to the main street).
BREAKFAST COST | €14 per adult, €10 per child (age 5-10 years).
RESTAURANT | We currently only serve breakfast. No lunch or dinner restaurant on-site. No room service available.
LAUNDRY | No laundry service available.

PARKING | Free on-site parking. No reservation possible. Subject to availability.
BICYCLE | No indoor bicycle storage room. An outdoor bicycle stand is located next to the entrance door.

SUPERMARKETS | The closest supermarkets are in the Schallmoos district (e.g., Norma or Billa). Do not guess the exact street addresses for these; instead advise guests to search for "Norma Schallmoos" or "Billa Schallmoos" on Google Maps, as they can be reached with busses.

GUEST MOBILITY TICKET | Included free for the whole stay. Allows free use of all public transport in Salzburg Province. Requires completing the online check-in and marking ALL guests to receive the ticket. Tickets are sent out daily between noon and 8:00 PM. Website: https://www.guestmobilityticket.at/en/

NEAREST BUS STOP | Baron Schwarz Park (30 meters from the hotel entrance).
BUS LINE 21 | Bus 21 goes through the City Center. Direction to City Center: Fürstenbrunn. Direction back to hotel: Bergheim.
